x,y,z,t_mean_c,t_std_c,n_obs,material,solar_absorptance,u_value_w_m2k,plausible,flag_reason
5.9,1.5,-0.30000000000000004,35.212,0.402,227,rubber,0.9,6.0429,1,
5.9,1.5,-0.1,35.469,0.503,797,rubber,0.9,6.3409,1,
5.9,1.5,0.1,35.313,0.465,359,paint,0.6,6.16,1,
5.9,1.5,0.30000000000000004,35.538,0.455,291,paint,0.6,6.4209,1,
5.9,1.5,0.5,35.836,0.504,251,paint,0.6,6.7664,1,
5.9,1.5,0.7000000000000001,36.1,0.549,284,paint,0.6,7.0725,1,
5.9,1.5,0.9,36.261,0.446,311,paint,0.6,7.2591,1,
5.9,1.5,1.1,37.169,0.331,13,paint,0.6,8.3119,0,solar_possible
6.1000000000000005,-0.7000000000000001,-0.30000000000000004,35.343,0.353,299,rubber,0.9,6.1948,1,
6.1000000000000005,-0.7000000000000001,-0.1,35.581,0.638,660,painted_metal,0.65,6.4707,1,
6.1000000000000005,-0.7000000000000001,0.1,35.22,0.516,274,painted_metal,0.65,6.0522,1,
6.1000000000000005,-0.7000000000000001,0.30000000000000004,35.531,0.508,235,painted_metal,0.65,6.4128,1,
6.1000000000000005,-0.7000000000000001,0.5,35.967,0.561,212,painted_metal,0.65,6.9183,1,
6.1000000000000005,-0.7000000000000001,0.7000000000000001,36.06,0.671,244,painted_metal,0.65,7.0261,1,
6.1000000000000005,-0.7000000000000001,0.9,35.977,0.517,156,painted_metal,0.65,6.9299,1,
6.1000000000000005,-0.7000000000000001,1.1,36.675,0.187,2,painted_metal,0.65,7.7391,1,
6.1000000000000005,-0.5,-0.30000000000000004,35.107,0.27,323,rubber,0.9,5.9212,1,
6.1000000000000005,-0.30000000000000004,-0.30000000000000004,34.881,0.423,292,rubber,0.9,5.6591,1,
6.1000000000000005,-0.1,-0.30000000000000004,35.816,0.444,287,rubber,0.9,6.7432,1,
6.1000000000000005,0.1,-0.30000000000000004,36.014,0.387,329,rubber,0.9,6.9728,1,
6.1000000000000005,0.30000000000000004,-0.30000000000000004,35.848,0.317,295,rubber,0.9,6.7803,1,
6.1000000000000005,0.5,-0.30000000000000004,35.044,0.442,300,rubber,0.9,5.8481,1,
6.1000000000000005,0.7000000000000001,-0.30000000000000004,34.926,0.272,393,rubber,0.9,5.7113,1,
6.1000000000000005,0.9,-0.30000000000000004,35.04,0.334,368,rubber,0.9,5.8435,1,
6.1000000000000005,1.1,-0.30000000000000004,35.259,0.377,317,rubber,0.9,6.0974,1,
6.1000000000000005,1.3,-0.30000000000000004,35.281,0.39,270,rubber,0.9,6.1229,1,
6.1000000000000005,1.5,-0.30000000000000004,35.33,0.458,236,rubber,0.9,6.1797,1,
